step,event,x,y,height,angle
145,rotate_success,2 cm,1 cm,1 cm,270°
146,get_location,2 cm,1 cm,1 cm,270°
147,scan,2 cm,1 cm,1 cm,270°
148,rotate_success,2 cm,1 cm,1 cm,287°
149,get_location,2 cm,1 cm,1 cm,287°
150,rotate_success,2 cm,1 cm,1 cm,304°
151,get_location,2 cm,1 cm,1 cm,304°
152,rotate_success,2 cm,1 cm,1 cm,321°
153,get_location,2 cm,1 cm,1 cm,321°
154,rotate_success,2 cm,1 cm,1 cm,338°
155,get_location,2 cm,1 cm,1 cm,338°
156,rotate_success,2 cm,1 cm,1 cm,355°
157,get_location,2 cm,1 cm,1 cm,355°
158,rotate_success,2 cm,1 cm,1 cm,0°
159,get_location,2 cm,1 cm,1 cm,0°
160,scan,2 cm,1 cm,1 cm,0°
161,rotate_success,2 cm,1 cm,1 cm,17°
162,get_location,2 cm,1 cm,1 cm,17°
163,rotate_success,2 cm,1 cm,1 cm,34°
164,get_location,2 cm,1 cm,1 cm,34°
165,rotate_success,2 cm,1 cm,1 cm,51°
166,get_location,2 cm,1 cm,1 cm,51°
167,rotate_success,2 cm,1 cm,1 cm,68°
168,get_location,2 cm,1 cm,1 cm,68°
169,rotate_success,2 cm,1 cm,1 cm,85°
170,get_location,2 cm,1 cm,1 cm,85°
171,rotate_success,2 cm,1 cm,1 cm,90°
172,get_location,2 cm,1 cm,1 cm,90°
173,scan,2 cm,1 cm,1 cm,90°
174,scan,2 cm,1 cm,1 cm,90°
175,scan,2 cm,1 cm,1 cm,90°
176,rotate_success,2 cm,1 cm,1 cm,107°
177,get_location,2 cm,1 cm,1 cm,107°
178,rotate_success,2 cm,1 cm,1 cm,124°
179,get_location,2 cm,1 cm,1 cm,124°
180,rotate_success,2 cm,1 cm,1 cm,141°
181,get_location,2 cm,1 cm,1 cm,141°
182,rotate_success,2 cm,1 cm,1 cm,158°
183,get_location,2 cm,1 cm,1 cm,158°
184,rotate_success,2 cm,1 cm,1 cm,175°
185,get_location,2 cm,1 cm,1 cm,175°
186,rotate_success,2 cm,1 cm,1 cm,180°
187,get_location,2 cm,1 cm,1 cm,180°
188,advance_success,1 cm,1 cm,1 cm,180°
189,get_location,1 cm,1 cm,1 cm,180°
190,scan,1 cm,1 cm,1 cm,180°
191,rotate_success,1 cm,1 cm,1 cm,197°
192,get_location,1 cm,1 cm,1 cm,197°
193,rotate_success,1 cm,1 cm,1 cm,214°
194,get_location,1 cm,1 cm,1 cm,214°
195,rotate_success,1 cm,1 cm,1 cm,231°
196,get_location,1 cm,1 cm,1 cm,231°
197,rotate_success,1 cm,1 cm,1 cm,248°
198,get_location,1 cm,1 cm,1 cm,248°
199,rotate_success,1 cm,1 cm,1 cm,265°
200,get_location,1 cm,1 cm,1 cm,265°
201,rotate_success,1 cm,1 cm,1 cm,270°
202,get_location,1 cm,1 cm,1 cm,270°
203,scan,1 cm,1 cm,1 cm,270°
204,rotate_success,1 cm,1 cm,1 cm,287°
205,get_location,1 cm,1 cm,1 cm,287°
206,rotate_success,1 cm,1 cm,1 cm,304°
207,get_location,1 cm,1 cm,1 cm,304°
208,rotate_success,1 cm,1 cm,1 cm,321°
209,get_location,1 cm,1 cm,1 cm,321°
210,rotate_success,1 cm,1 cm,1 cm,338°
211,get_location,1 cm,1 cm,1 cm,338°
212,rotate_success,1 cm,1 cm,1 cm,355°
213,get_location,1 cm,1 cm,1 cm,355°
214,rotate_success,1 cm,1 cm,1 cm,0°
215,get_location,1 cm,1 cm,1 cm,0°
216,scan,1 cm,1 cm,1 cm,0°
217,rotate_success,1 cm,1 cm,1 cm,17°
218,get_location,1 cm,1 cm,1 cm,17°
219,rotate_success,1 cm,1 cm,1 cm,34°
220,get_location,1 cm,1 cm,1 cm,34°
221,rotate_success,1 cm,1 cm,1 cm,51°
222,get_location,1 cm,1 cm,1 cm,51°
223,rotate_success,1 cm,1 cm,1 cm,68°
224,get_location,1 cm,1 cm,1 cm,68°
225,rotate_success,1 cm,1 cm,1 cm,85°
226,get_location,1 cm,1 cm,1 cm,85°
227,rotate_success,1 cm,1 cm,1 cm,90°
228,get_location,1 cm,1 cm,1 cm,90°
229,scan,1 cm,1 cm,1 cm,90°
230,scan,1 cm,1 cm,1 cm,90°
231,scan,1 cm,1 cm,1 cm,90°
232,advance_success,1 cm,2 cm,1 cm,90°
233,get_location,1 cm,2 cm,1 cm,90°
234,scan,1 cm,2 cm,1 cm,90°
235,rotate_success,1 cm,2 cm,1 cm,107°
236,get_location,1 cm,2 cm,1 cm,107°
237,rotate_success,1 cm,2 cm,1 cm,124°
238,get_location,1 cm,2 cm,1 cm,124°
239,rotate_success,1 cm,2 cm,1 cm,141°
240,get_location,1 cm,2 cm,1 cm,141°
241,rotate_success,1 cm,2 cm,1 cm,158°
242,get_location,1 cm,2 cm,1 cm,158°
243,rotate_success,1 cm,2 cm,1 cm,175°
244,get_location,1 cm,2 cm,1 cm,175°
245,rotate_success,1 cm,2 cm,1 cm,180°
246,get_location,1 cm,2 cm,1 cm,180°
247,scan,1 cm,2 cm,1 cm,180°
248,rotate_success,1 cm,2 cm,1 cm,197°
249,get_location,1 cm,2 cm,1 cm,197°
250,rotate_success,1 cm,2 cm,1 cm,214°
251,get_location,1 cm,2 cm,1 cm,214°
252,rotate_success,1 cm,2 cm,1 cm,231°
253,get_location,1 cm,2 cm,1 cm,231°
254,rotate_success,1 cm,2 cm,1 cm,248°
255,get_location,1 cm,2 cm,1 cm,248°
256,rotate_success,1 cm,2 cm,1 cm,265°
257,get_location,1 cm,2 cm,1 cm,265°
258,rotate_success,1 cm,2 cm,1 cm,270°
259,get_location,1 cm,2 cm,1 cm,270°
260,scan,1 cm,2 cm,1 cm,270°
261,rotate_success,1 cm,2 cm,1 cm,287°
262,get_location,1 cm,2 cm,1 cm,287°
263,rotate_success,1 cm,2 cm,1 cm,304°
264,get_location,1 cm,2 cm,1 cm,304°
265,rotate_success,1 cm,2 cm,1 cm,321°
266,get_location,1 cm,2 cm,1 cm,321°
267,rotate_success,1 cm,2 cm,1 cm,338°
268,get_location,1 cm,2 cm,1 cm,338°
269,rotate_success,1 cm,2 cm,1 cm,355°
270,get_location,1 cm,2 cm,1 cm,355°
271,rotate_success,1 cm,2 cm,1 cm,0°
272,get_location,1 cm,2 cm,1 cm,0°
273,scan,1 cm,2 cm,1 cm,0°
274,scan,1 cm,2 cm,1 cm,0°
275,scan,1 cm,2 cm,1 cm,0°
276,rotate_success,1 cm,2 cm,1 cm,17°
277,get_location,1 cm,2 cm,1 cm,17°
278,rotate_success,1 cm,2 cm,1 cm,34°
279,get_location,1 cm,2 cm,1 cm,34°
280,rotate_success,1 cm,2 cm,1 cm,51°
281,get_location,1 cm,2 cm,1 cm,51°
282,rotate_success,1 cm,2 cm,1 cm,68°
283,get_location,1 cm,2 cm,1 cm,68°
284,rotate_success,1 cm,2 cm,1 cm,85°
285,get_location,1 cm,2 cm,1 cm,85°
286,rotate_success,1 cm,2 cm,1 cm,90°
287,get_location,1 cm,2 cm,1 cm,90°
288,advance_success,1 cm,3 cm,1 cm,90°
289,get_location,1 cm,3 cm,1 cm,90°
290,scan,1 cm,3 cm,1 cm,90°
291,rotate_success,1 cm,3 cm,1 cm,107°
292,get_location,1 cm,3 cm,1 cm,107°
293,rotate_success,1 cm,3 cm,1 cm,124°
294,get_location,1 cm,3 cm,1 cm,124°
295,rotate_success,1 cm,3 cm,1 cm,141°
296,get_location,1 cm,3 cm,1 cm,141°
297,rotate_success,1 cm,3 cm,1 cm,158°
298,get_location,1 cm,3 cm,1 cm,158°
299,rotate_success,1 cm,3 cm,1 cm,175°
300,get_location,1 cm,3 cm,1 cm,175°
301,rotate_success,1 cm,3 cm,1 cm,180°
302,get_location,1 cm,3 cm,1 cm,180°
303,scan,1 cm,3 cm,1 cm,180°
304,rotate_success,1 cm,3 cm,1 cm,197°
305,get_location,1 cm,3 cm,1 cm,197°
306,rotate_success,1 cm,3 cm,1 cm,214°
307,get_location,1 cm,3 cm,1 cm,214°
308,rotate_success,1 cm,3 cm,1 cm,231°
309,get_location,1 cm,3 cm,1 cm,231°
310,rotate_success,1 cm,3 cm,1 cm,248°
311,get_location,1 cm,3 cm,1 cm,248°
312,rotate_success,1 cm,3 cm,1 cm,265°
313,get_location,1 cm,3 cm,1 cm,265°
314,rotate_success,1 cm,3 cm,1 cm,270°
315,get_location,1 cm,3 cm,1 cm,270°
316,scan,1 cm,3 cm,1 cm,270°
317,rotate_success,1 cm,3 cm,1 cm,287°
318,get_location,1 cm,3 cm,1 cm,287°
319,rotate_success,1 cm,3 cm,1 cm,304°
320,get_location,1 cm,3 cm,1 cm,304°
321,rotate_success,1 cm,3 cm,1 cm,321°
322,get_location,1 cm,3 cm,1 cm,321°
323,rotate_success,1 cm,3 cm,1 cm,338°
324,get_location,1 cm,3 cm,1 cm,338°
325,rotate_success,1 cm,3 cm,1 cm,355°
326,get_location,1 cm,3 cm,1 cm,355°
327,rotate_success,1 cm,3 cm,1 cm,0°
328,get_location,1 cm,3 cm,1 cm,0°
329,scan,1 cm,3 cm,1 cm,0°
330,scan,1 cm,3 cm,1 cm,0°
331,scan,1 cm,3 cm,1 cm,0°
332,advance_success,2 cm,3 cm,1 cm,0°
333,get_location,2 cm,3 cm,1 cm,0°
334,scan,2 cm,3 cm,1 cm,0°
335,rotate_success,2 cm,3 cm,1 cm,17°
336,get_location,2 cm,3 cm,1 cm,17°
337,rotate_success,2 cm,3 cm,1 cm,34°
338,get_location,2 cm,3 cm,1 cm,34°
339,rotate_success,2 cm,3 cm,1 cm,51°
340,get_location,2 cm,3 cm,1 cm,51°
341,rotate_success,2 cm,3 cm,1 cm,68°
342,get_location,2 cm,3 cm,1 cm,68°
343,rotate_success,2 cm,3 cm,1 cm,85°
344,get_location,2 cm,3 cm,1 cm,85°
345,rotate_success,2 cm,3 cm,1 cm,90°
346,get_location,2 cm,3 cm,1 cm,90°
347,scan,2 cm,3 cm,1 cm,90°
348,rotate_success,2 cm,3 cm,1 cm,107°
349,get_location,2 cm,3 cm,1 cm,107°
350,rotate_success,2 cm,3 cm,1 cm,124°
351,get_location,2 cm,3 cm,1 cm,124°
352,rotate_success,2 cm,3 cm,1 cm,141°
353,get_location,2 cm,3 cm,1 cm,141°
354,rotate_success,2 cm,3 cm,1 cm,158°
355,get_location,2 cm,3 cm,1 cm,158°
356,rotate_success,2 cm,3 cm,1 cm,175°
357,get_location,2 cm,3 cm,1 cm,175°
358,rotate_success,2 cm,3 cm,1 cm,180°
359,get_location,2 cm,3 cm,1 cm,180°
360,scan,2 cm,3 cm,1 cm,180°
361,rotate_success,2 cm,3 cm,1 cm,197°
362,get_location,2 cm,3 cm,1 cm,197°
363,rotate_success,2 cm,3 cm,1 cm,214°
364,get_location,2 cm,3 cm,1 cm,214°
365,rotate_success,2 cm,3 cm,1 cm,231°
366,get_location,2 cm,3 cm,1 cm,231°
367,rotate_success,2 cm,3 cm,1 cm,248°
368,get_location,2 cm,3 cm,1 cm,248°
369,rotate_success,2 cm,3 cm,1 cm,265°
370,get_location,2 cm,3 cm,1 cm,265°
371,rotate_success,2 cm,3 cm,1 cm,270°
372,get_location,2 cm,3 cm,1 cm,270°
373,scan,2 cm,3 cm,1 cm,270°
374,scan,2 cm,3 cm,1 cm,270°
375,scan,2 cm,3 cm,1 cm,270°
376,rotate_success,2 cm,3 cm,1 cm,287°
377,get_location,2 cm,3 cm,1 cm,287°
378,rotate_success,2 cm,3 cm,1 cm,304°
379,get_location,2 cm,3 cm,1 cm,304°
380,rotate_success,2 cm,3 cm,1 cm,321°
381,get_location,2 cm,3 cm,1 cm,321°
382,rotate_success,2 cm,3 cm,1 cm,338°
383,get_location,2 cm,3 cm,1 cm,338°
384,rotate_success,2 cm,3 cm,1 cm,355°
385,get_location,2 cm,3 cm,1 cm,355°
386,rotate_success,2 cm,3 cm,1 cm,0°
387,get_location,2 cm,3 cm,1 cm,0°
388,advance_success,3 cm,3 cm,1 cm,0°
389,get_location,3 cm,3 cm,1 cm,0°
390,scan,3 cm,3 cm,1 cm,0°
391,rotate_success,3 cm,3 cm,1 cm,17°
392,get_location,3 cm,3 cm,1 cm,17°
393,rotate_success,3 cm,3 cm,1 cm,34°
394,get_location,3 cm,3 cm,1 cm,34°
395,rotate_success,3 cm,3 cm,1 cm,51°
396,get_location,3 cm,3 cm,1 cm,51°
397,rotate_success,3 cm,3 cm,1 cm,68°
398,get_location,3 cm,3 cm,1 cm,68°
399,rotate_success,3 cm,3 cm,1 cm,85°
400,get_location,3 cm,3 cm,1 cm,85°
401,rotate_success,3 cm,3 cm,1 cm,90°
402,get_location,3 cm,3 cm,1 cm,90°
403,scan,3 cm,3 cm,1 cm,90°
404,rotate_success,3 cm,3 cm,1 cm,107°
405,get_location,3 cm,3 cm,1 cm,107°
406,rotate_success,3 cm,3 cm,1 cm,124°
407,get_location,3 cm,3 cm,1 cm,124°
408,rotate_success,3 cm,3 cm,1 cm,141°
409,get_location,3 cm,3 cm,1 cm,141°
410,rotate_success,3 cm,3 cm,1 cm,158°
411,get_location,3 cm,3 cm,1 cm,158°
412,rotate_success,3 cm,3 cm,1 cm,175°
413,get_location,3 cm,3 cm,1 cm,175°
414,rotate_success,3 cm,3 cm,1 cm,180°
415,get_location,3 cm,3 cm,1 cm,180°
416,scan,3 cm,3 cm,1 cm,180°
417,rotate_success,3 cm,3 cm,1 cm,197°
418,get_location,3 cm,3 cm,1 cm,197°
419,rotate_success,3 cm,3 cm,1 cm,214°
420,get_location,3 cm,3 cm,1 cm,214°
421,rotate_success,3 cm,3 cm,1 cm,231°
422,get_location,3 cm,3 cm,1 cm,231°
423,rotate_success,3 cm,3 cm,1 cm,248°
424,get_location,3 cm,3 cm,1 cm,248°
425,rotate_success,3 cm,3 cm,1 cm,265°
426,get_location,3 cm,3 cm,1 cm,265°
427,rotate_success,3 cm,3 cm,1 cm,270°
428,get_location,3 cm,3 cm,1 cm,270°
429,scan,3 cm,3 cm,1 cm,270°
430,scan,3 cm,3 cm,1 cm,270°
431,scan,3 cm,3 cm,1 cm,270°
432,advance_success,3 cm,2 cm,1 cm,270°
433,get_location,3 cm,2 cm,1 cm,270°
434,scan,3 cm,2 cm,1 cm,270°
435,rotate_success,3 cm,2 cm,1 cm,287°
436,get_location,3 cm,2 cm,1 cm,287°
437,rotate_success,3 cm,2 cm,1 cm,304°
438,get_location,3 cm,2 cm,1 cm,304°
439,rotate_success,3 cm,2 cm,1 cm,321°
440,get_location,3 cm,2 cm,1 cm,321°
441,rotate_success,3 cm,2 cm,1 cm,338°
442,get_location,3 cm,2 cm,1 cm,338°
443,rotate_success,3 cm,2 cm,1 cm,355°
444,get_location,3 cm,2 cm,1 cm,355°
445,rotate_success,3 cm,2 cm,1 cm,0°
446,get_location,3 cm,2 cm,1 cm,0°
447,scan,3 cm,2 cm,1 cm,0°
448,rotate_success,3 cm,2 cm,1 cm,17°
449,get_location,3 cm,2 cm,1 cm,17°
450,rotate_success,3 cm,2 cm,1 cm,34°
451,get_location,3 cm,2 cm,1 cm,34°
452,rotate_success,3 cm,2 cm,1 cm,51°
453,get_location,3 cm,2 cm,1 cm,51°
454,rotate_success,3 cm,2 cm,1 cm,68°
455,get_location,3 cm,2 cm,1 cm,68°
456,rotate_success,3 cm,2 cm,1 cm,85°
457,get_location,3 cm,2 cm,1 cm,85°
458,rotate_success,3 cm,2 cm,1 cm,90°
459,get_location,3 cm,2 cm,1 cm,90°
460,scan,3 cm,2 cm,1 cm,90°
461,rotate_success,3 cm,2 cm,1 cm,107°
462,get_location,3 cm,2 cm,1 cm,107°
463,rotate_success,3 cm,2 cm,1 cm,124°
464,get_location,3 cm,2 cm,1 cm,124°
465,rotate_success,3 cm,2 cm,1 cm,141°
466,get_location,3 cm,2 cm,1 cm,141°
467,rotate_success,3 cm,2 cm,1 cm,158°
468,get_location,3 cm,2 cm,1 cm,158°
469,rotate_success,3 cm,2 cm,1 cm,175°
470,get_location,3 cm,2 cm,1 cm,175°
471,rotate_success,3 cm,2 cm,1 cm,180°
472,get_location,3 cm,2 cm,1 cm,180°
473,scan,3 cm,2 cm,1 cm,180°
474,scan,3 cm,2 cm,1 cm,180°
475,scan,3 cm,2 cm,1 cm,180°
476,advance_success,2 cm,2 cm,1 cm,180°
477,get_location,2 cm,2 cm,1 cm,180°
478,scan,2 cm,2 cm,1 cm,180°
479,rotate_success,2 cm,2 cm,1 cm,197°
480,get_location,2 cm,2 cm,1 cm,197°
481,rotate_success,2 cm,2 cm,1 cm,214°
482,get_location,2 cm,2 cm,1 cm,214°
483,rotate_success,2 cm,2 cm,1 cm,231°
484,get_location,2 cm,2 cm,1 cm,231°
485,rotate_success,2 cm,2 cm,1 cm,248°
486,get_location,2 cm,2 cm,1 cm,248°
487,rotate_success,2 cm,2 cm,1 cm,265°
488,get_location,2 cm,2 cm,1 cm,265°
489,rotate_success,2 cm,2 cm,1 cm,270°
490,get_location,2 cm,2 cm,1 cm,270°
491,scan,2 cm,2 cm,1 cm,270°
492,rotate_success,2 cm,2 cm,1 cm,287°
493,get_location,2 cm,2 cm,1 cm,287°
494,rotate_success,2 cm,2 cm,1 cm,304°
495,get_location,2 cm,2 cm,1 cm,304°
496,rotate_success,2 cm,2 cm,1 cm,321°
497,get_location,2 cm,2 cm,1 cm,321°
498,rotate_success,2 cm,2 cm,1 cm,338°
499,get_location,2 cm,2 cm,1 cm,338°
500,rotate_success,2 cm,2 cm,1 cm,355°
501,get_location,2 cm,2 cm,1 cm,355°
502,rotate_success,2 cm,2 cm,1 cm,0°
503,get_location,2 cm,2 cm,1 cm,0°
504,scan,2 cm,2 cm,1 cm,0°
505,rotate_success,2 cm,2 cm,1 cm,17°
506,get_location,2 cm,2 cm,1 cm,17°
507,rotate_success,2 cm,2 cm,1 cm,34°
508,get_location,2 cm,2 cm,1 cm,34°
509,rotate_success,2 cm,2 cm,1 cm,51°
510,get_location,2 cm,2 cm,1 cm,51°
511,rotate_success,2 cm,2 cm,1 cm,68°
512,get_location,2 cm,2 cm,1 cm,68°
513,rotate_success,2 cm,2 cm,1 cm,85°
514,get_location,2 cm,2 cm,1 cm,85°
515,rotate_success,2 cm,2 cm,1 cm,90°
516,get_location,2 cm,2 cm,1 cm,90°
517,scan,2 cm,2 cm,1 cm,90°
518,scan,2 cm,2 cm,1 cm,90°
519,scan,2 cm,2 cm,1 cm,90°
520,finished,2 cm,2 cm,1 cm,90°
