step,event,x,y,height,angle
0,start,2 cm,2 cm,1 cm,0°
1,get_location,2 cm,2 cm,1 cm,0°
2,scan,2 cm,2 cm,1 cm,0°
3,advance_success,3 cm,2 cm,1 cm,0°
4,get_location,3 cm,2 cm,1 cm,0°
5,scan,3 cm,2 cm,1 cm,0°
6,rotate_success,3 cm,2 cm,1 cm,17°
7,get_location,3 cm,2 cm,1 cm,17°
8,rotate_success,3 cm,2 cm,1 cm,34°
9,get_location,3 cm,2 cm,1 cm,34°
10,rotate_success,3 cm,2 cm,1 cm,51°
11,get_location,3 cm,2 cm,1 cm,51°
12,rotate_success,3 cm,2 cm,1 cm,68°
13,get_location,3 cm,2 cm,1 cm,68°
14,rotate_success,3 cm,2 cm,1 cm,85°
15,get_location,3 cm,2 cm,1 cm,85°
16,rotate_success,3 cm,2 cm,1 cm,90°
17,get_location,3 cm,2 cm,1 cm,90°
18,scan,3 cm,2 cm,1 cm,90°
19,advance_success,3 cm,3 cm,1 cm,90°
20,get_location,3 cm,3 cm,1 cm,90°
21,scan,3 cm,3 cm,1 cm,90°
22,rotate_success,3 cm,3 cm,1 cm,107°
23,get_location,3 cm,3 cm,1 cm,107°
24,rotate_success,3 cm,3 cm,1 cm,124°
25,get_location,3 cm,3 cm,1 cm,124°
26,rotate_success,3 cm,3 cm,1 cm,141°
27,get_location,3 cm,3 cm,1 cm,141°
28,rotate_success,3 cm,3 cm,1 cm,158°
29,get_location,3 cm,3 cm,1 cm,158°
30,rotate_success,3 cm,3 cm,1 cm,175°
31,get_location,3 cm,3 cm,1 cm,175°
32,rotate_success,3 cm,3 cm,1 cm,180°
33,get_location,3 cm,3 cm,1 cm,180°
34,scan,3 cm,3 cm,1 cm,180°
35,advance_success,2 cm,3 cm,1 cm,180°
36,get_location,2 cm,3 cm,1 cm,180°
37,scan,2 cm,3 cm,1 cm,180°
38,advance_success,1 cm,3 cm,1 cm,180°
39,get_location,1 cm,3 cm,1 cm,180°
40,scan,1 cm,3 cm,1 cm,180°
41,rotate_success,1 cm,3 cm,1 cm,197°
42,get_location,1 cm,3 cm,1 cm,197°
43,rotate_success,1 cm,3 cm,1 cm,214°
44,get_location,1 cm,3 cm,1 cm,214°
45,rotate_success,1 cm,3 cm,1 cm,231°
46,get_location,1 cm,3 cm,1 cm,231°
47,rotate_success,1 cm,3 cm,1 cm,248°
48,get_location,1 cm,3 cm,1 cm,248°
49,rotate_success,1 cm,3 cm,1 cm,265°
50,get_location,1 cm,3 cm,1 cm,265°
51,rotate_success,1 cm,3 cm,1 cm,270°
52,get_location,1 cm,3 cm,1 cm,270°
53,scan,1 cm,3 cm,1 cm,270°
54,advance_success,1 cm,2 cm,1 cm,270°
55,get_location,1 cm,2 cm,1 cm,270°
56,scan,1 cm,2 cm,1 cm,270°
57,advance_success,1 cm,1 cm,1 cm,270°
58,get_location,1 cm,1 cm,1 cm,270°
59,scan,1 cm,1 cm,1 cm,270°
60,rotate_success,1 cm,1 cm,1 cm,287°
61,get_location,1 cm,1 cm,1 cm,287°
62,rotate_success,1 cm,1 cm,1 cm,304°
63,get_location,1 cm,1 cm,1 cm,304°
64,rotate_success,1 cm,1 cm,1 cm,321°
65,get_location,1 cm,1 cm,1 cm,321°
66,rotate_success,1 cm,1 cm,1 cm,338°
67,get_location,1 cm,1 cm,1 cm,338°
68,rotate_success,1 cm,1 cm,1 cm,355°
69,get_location,1 cm,1 cm,1 cm,355°
70,rotate_success,1 cm,1 cm,1 cm,0°
71,get_location,1 cm,1 cm,1 cm,0°
72,scan,1 cm,1 cm,1 cm,0°
73,advance_success,2 cm,1 cm,1 cm,0°
74,get_location,2 cm,1 cm,1 cm,0°
75,scan,2 cm,1 cm,1 cm,0°
76,advance_success,3 cm,1 cm,1 cm,0°
77,get_location,3 cm,1 cm,1 cm,0°
78,scan,3 cm,1 cm,1 cm,0°
79,rotate_success,3 cm,1 cm,1 cm,17°
80,get_location,3 cm,1 cm,1 cm,17°
81,rotate_success,3 cm,1 cm,1 cm,34°
82,get_location,3 cm,1 cm,1 cm,34°
83,rotate_success,3 cm,1 cm,1 cm,51°
84,get_location,3 cm,1 cm,1 cm,51°
85,rotate_success,3 cm,1 cm,1 cm,68°
86,get_location,3 cm,1 cm,1 cm,68°
87,rotate_success,3 cm,1 cm,1 cm,85°
88,get_location,3 cm,1 cm,1 cm,85°
89,rotate_success,3 cm,1 cm,1 cm,90°
90,get_location,3 cm,1 cm,1 cm,90°
91,scan,3 cm,1 cm,1 cm,90°
92,rotate_success,3 cm,1 cm,1 cm,107°
93,get_location,3 cm,1 cm,1 cm,107°
94,rotate_success,3 cm,1 cm,1 cm,124°
95,get_location,3 cm,1 cm,1 cm,124°
96,rotate_success,3 cm,1 cm,1 cm,141°
97,get_location,3 cm,1 cm,1 cm,141°
98,rotate_success,3 cm,1 cm,1 cm,158°
99,get_location,3 cm,1 cm,1 cm,158°
100,rotate_success,3 cm,1 cm,1 cm,175°
101,get_location,3 cm,1 cm,1 cm,175°
102,rotate_success,3 cm,1 cm,1 cm,180°
103,get_location,3 cm,1 cm,1 cm,180°
104,scan,3 cm,1 cm,1 cm,180°
105,rotate_success,3 cm,1 cm,1 cm,197°
106,get_location,3 cm,1 cm,1 cm,197°
107,rotate_success,3 cm,1 cm,1 cm,214°
108,get_location,3 cm,1 cm,1 cm,214°
109,rotate_success,3 cm,1 cm,1 cm,231°
110,get_location,3 cm,1 cm,1 cm,231°
111,rotate_success,3 cm,1 cm,1 cm,248°
112,get_location,3 cm,1 cm,1 cm,248°
113,rotate_success,3 cm,1 cm,1 cm,265°
114,get_location,3 cm,1 cm,1 cm,265°
115,rotate_success,3 cm,1 cm,1 cm,270°
116,get_location,3 cm,1 cm,1 cm,270°
117,scan,3 cm,1 cm,1 cm,270°
118,scan,3 cm,1 cm,1 cm,270°
119,scan,3 cm,1 cm,1 cm,270°
120,rotate_success,3 cm,1 cm,1 cm,253°
121,get_location,3 cm,1 cm,1 cm,253°
122,rotate_success,3 cm,1 cm,1 cm,236°
123,get_location,3 cm,1 cm,1 cm,236°
124,rotate_success,3 cm,1 cm,1 cm,219°
125,get_location,3 cm,1 cm,1 cm,219°
126,rotate_success,3 cm,1 cm,1 cm,202°
127,get_location,3 cm,1 cm,1 cm,202°
128,rotate_success,3 cm,1 cm,1 cm,185°
129,get_location,3 cm,1 cm,1 cm,185°
130,rotate_success,3 cm,1 cm,1 cm,180°
131,get_location,3 cm,1 cm,1 cm,180°
132,advance_success,2 cm,1 cm,1 cm,180°
133,get_location,2 cm,1 cm,1 cm,180°
134,scan,2 cm,1 cm,1 cm,180°
135,rotate_success,2 cm,1 cm,1 cm,197°
136,get_location,2 cm,1 cm,1 cm,197°
137,rotate_success,2 cm,1 cm,1 cm,214°
138,get_location,2 cm,1 cm,1 cm,214°
139,rotate_success,2 cm,1 cm,1 cm,231°
140,get_location,2 cm,1 cm,1 cm,231°
141,rotate_success,2 cm,1 cm,1 cm,248°
142,get_location,2 cm,1 cm,1 cm,248°
143,rotate_success,2 cm,1 cm,1 cm,265°
144,get_location,2 cm,1 cm,1 cm,265°
