step,event,x,y,height,angle
131,rotate_success,4 cm,2 cm,1 cm,270°
132,get_location,4 cm,2 cm,1 cm,270°
133,scan,4 cm,2 cm,1 cm,270°
134,scan,4 cm,2 cm,1 cm,270°
135,scan,4 cm,2 cm,1 cm,270°
136,rotate_success,4 cm,2 cm,1 cm,180°
137,get_location,4 cm,2 cm,1 cm,180°
138,advance_success,3 cm,2 cm,1 cm,180°
139,get_location,3 cm,2 cm,1 cm,180°
140,scan,3 cm,2 cm,1 cm,180°
141,rotate_success,3 cm,2 cm,1 cm,270°
142,get_location,3 cm,2 cm,1 cm,270°
143,scan,3 cm,2 cm,1 cm,270°
144,rotate_success,3 cm,2 cm,1 cm,0°
145,get_location,3 cm,2 cm,1 cm,0°
146,scan,3 cm,2 cm,1 cm,0°
147,rotate_success,3 cm,2 cm,1 cm,90°
148,get_location,3 cm,2 cm,1 cm,90°
149,scan,3 cm,2 cm,1 cm,90°
150,scan,3 cm,2 cm,1 cm,90°
151,scan,3 cm,2 cm,1 cm,90°
152,advance_success,3 cm,3 cm,1 cm,90°
153,get_location,3 cm,3 cm,1 cm,90°
154,scan,3 cm,3 cm,1 cm,90°
155,rotate_success,3 cm,3 cm,1 cm,180°
156,get_location,3 cm,3 cm,1 cm,180°
157,scan,3 cm,3 cm,1 cm,180°
158,rotate_success,3 cm,3 cm,1 cm,270°
159,get_location,3 cm,3 cm,1 cm,270°
160,scan,3 cm,3 cm,1 cm,270°
161,rotate_success,3 cm,3 cm,1 cm,0°
162,get_location,3 cm,3 cm,1 cm,0°
163,scan,3 cm,3 cm,1 cm,0°
164,scan,3 cm,3 cm,1 cm,0°
165,scan,3 cm,3 cm,1 cm,0°
166,finished,3 cm,3 cm,1 cm,0°
